Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Caterspot,https://www.crunchbase.com/organization/caterspot,"B2B, Catering, E-Commerce, Food and Beverage, Hospitality, Local, Marketplace, Retail","Singapore, Central Region, Singapore",Caterspot is an online marketplace that connects companies and people with great local catering options.,800000,USD,800000,Private,,,Active,https://www.caterspot.com,11-50,800000,USD,800000,Seed,1,"Swiss Founders Fund, Triplestar Capital"
iFashion Group,https://www.crunchbase.com/organization/ifashion-group,"E-Commerce, Fashion, Marketing, Online Portals","Singapore, Central Region, Singapore",iFashion Group is a venture platform based in Southeast Asia that finances fashion and lifestyle e-commerce companies.,735000,USD,735000,Private,MC Payment,https://www.crunchbase.com/organization/mc-payment,Active,http://www.i-fashiongroup.com/,11-50,735000,USD,735000,Seed,1,RIMU Group
Noble House,https://www.crunchbase.com/organization/noble-house,"Consulting, Human Resources, Marketplace","Singapore, Central Region, Singapore","It is the global marketplace for independent HR Talent,.",1000000,USD,1000000,Private,,,Active,https://www.noblehouse.asia/,1-10,1000000,USD,1000000,Angel,1,
Gimmie,https://www.crunchbase.com/organization/gimmie,"Advertising, Big Data, CRM, Gamification, Loyalty Programs","Singapore, Central Region, Singapore","Gimmie provides digital marketing tools to acquire, convert and retain more customers on web and mobile.",1720000,USD,1720000,Private,,,Active,http://www.gimmie.io,11-50,700000,USD,700000,Venture - Series Unknown,4,"Wavemaker Partners, Tandem Capital, National Research Foundation, IdeaRiverRun"
Coupay,https://www.crunchbase.com/organization/coupay,"Coupons, E-Commerce, Internet, Retail, Social Media, Social Network","Singapore, Central Region, Singapore","Coupay is a coupon, cashback and comparison site that rewards social network users according to their equity.",500000,USD,500000,Private,,,Active,http://www.coupay.com,11-50,500000,USD,500000,Seed,1,"Ross Veitch, Nick Gundry, Craig Hewett"
GoldMint,https://www.crunchbase.com/organization/goldmint,"Finance, Financial Services, FinTech, Vending and Concessions","Singapore, Central Region, Singapore",Fintech company GOLDMINT provides innovative technology and services to pawnshops business and buy-ups.,1200000,USD,1200000,Private,,,Active,https://www.goldmint.io/,11-50,,,,Undisclosed,2,AltaIR Capital
Fynd,https://www.crunchbase.com/organization/fynd,"Information Technology, Mobile, Technical Support","Singapore, Central Region, Singapore",Fynd provides on demand smartphones and tablets repair.,1020000,SGD,758596,Private,,,Active,http://www.getfynd.com,1-10,,,,Venture - Series Unknown,3,"Far East Ventures, Boon Hwee Koh"
Yours,https://www.crunchbase.com/organization/yours-3443,"Beauty, Consumer Goods, Cosmetics, Health Care, Lifestyle, Wellness","Singapore, Central Region, Singapore","Yours is an early stage consumer-tech startup that creates personalised skincare products based on user's skin, lifestyle, and environment.",3500000,USD,3500000,Private,,,Active,https://lovefromyours.com,11-50,3500000,USD,3500000,Seed,2,"Sequoia Capital India, Global Founders Capital, Kindred Ventures, Arrive"
Copernicus Gold,https://www.crunchbase.com/organization/copernicus-gold,"Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",Copernicus Gold is a cloud platform which enables implementation of the blockchain technology in the global financial system.,3500000,USD,3500000,Private,,,Active,http://www.copernicusgold.com,1-10,3500000,USD,3500000,Venture - Series Unknown,1,
HeusX,https://www.crunchbase.com/organization/heusx,"Blockchain, Cryptocurrency, Financial Services, FinTech","Singapore, Central Region, Singapore",Investment Veracity Protocol,2680000,USD,2680000,Private,,,Active,https://www.heusx.com,11-50,980000,USD,980000,Private Equity,3,"Cardinal Capital, TWIN CAPITAL ASSET MANAGEMENT"
Baseline Ventures,https://www.crunchbase.com/organization/baseline-ventures-7167,"Events, Sports","Singapore, Central Region, Singapore","A leader in sports, events, entertainment and licensing with offices in Mumbai, Delhi, Bengaluru and Singapore.",1000000,USD,1000000,Private,,,Active,http://www.baselineventure.com/,11-50,1000000,USD,1000000,Venture - Series Unknown,1,
Pocket Money Group,https://www.crunchbase.com/organization/pocket-money,"Financial Services, FinTech","Singapore, Central Region, Singapore",Empowering Differently Banked Communities,750000,USD,750000,Private,,,Active,https://pocketmoney.group/,1-10,500000,USD,500000,Pre-Seed,3,
Pierfront Capital,https://www.crunchbase.com/organization/pierfront-capital,,"Singapore, Central Region, Singapore",An alternative credit investor in Singapore,7800000,USD,7800000,Private,,,Active,https://www.pierfront.sg/,,,,,Private Equity,2,"Keppel Infrastructure Trust, Clifford Capital"
Qourier,https://www.crunchbase.com/organization/qourier,"Delivery, Information Services, Information Technology, Transportation","Singapore, Central Region, Singapore",Qourier is a same-day delivery startup,890000,SGD,625870,Private,,,Active,http://qourier.com/,1-10,890000,SGD,625870,Seed,1,"Startia, Eric Dadoun, Alex Tan"
Drive.SG,https://www.crunchbase.com/organization/drive-sg,"Automotive, Marketplace, Transportation","Singapore, Central Region, Singapore",Drive.SG is a car rental marketplace for people to rent cars in Singapore.,952988,USD,952988,Private,,,Active,http://www.drive.sg,11-50,790000,USD,790000,Series A,2,John Tan
TrophyRoom,https://www.crunchbase.com/organization/trophyroom,"Casual Games, Fantasy Sports, Mobile Apps, Soccer","Singapore, Central Region, Singapore","TrophyRoom is a next gen football entertainment app - mixing friends, fantasy football, RPGs and card games.",551271,USD,551271,Private,,,Active,https://trophyroom.io,1-10,551271,USD,551271,Seed,1,"Maxify Startup Studio, Nest Tech"
CellResearch Corporation,https://www.crunchbase.com/organization/cellresearch-corporation,"Biotechnology, Medical","Singapore, Central Region, Singapore",CellResearch Corp is the pioneer and global leader in Cord Lining Stem Cells.,5900000,USD,5900000,Private,,,Active,http://www.cellresearchcorp.com/,1-10,5900000,USD,5900000,Venture - Series Unknown,1,
Aprismatic,https://www.crunchbase.com/organization/aprismatic,"Cloud Security, Cyber Security, Database","Singapore, Central Region, Singapore",Bringing innovation to Data Security.,2474000,SGD,1790521,Private,,,Active,https://aprismatic.com/,1-10,201000,SGD,144575,Grant,5,
MAPLETREE Industrial Trust,https://www.crunchbase.com/organization/mapletree-industrial-trust,Real Estate,"Singapore, Central Region, Singapore","Mapletree Industrial Trust (""MIT"") is a real estate investment trust listed on the Main Board of Singapore Exchange.",400000000,SGD,290620583,Public,,,Active,https://www.mapletreeindustrialtrust.com/,101-250,400000000,SGD,290620583,Post-IPO Equity,1,
Team Flash,https://www.crunchbase.com/organization/team-flash,Sports,"Singapore, Central Region, Singapore",Team Flash is an esports organization,1500000,USD,1500000,Private,,,Active,http://www.teamflash.gg/,11-50,1500000,USD,1500000,Seed,1,Octava Foundation
Unnitel,https://www.crunchbase.com/organization/unnitel,"E-Commerce, Information Technology, Internet, Mobile, Telecommunications","Singapore, Central Region, Singapore",Unnitel is a mobility virtual network provider.,4000000,USD,4000000,Private,Yourwifi,https://www.crunchbase.com/organization/yourwifi,Active,https://www.unnitel.com/,11-50,4000000,USD,4000000,Venture - Series Unknown,1,Belt Road Capital Management
Wealth,https://www.crunchbase.com/organization/wealth,"Consulting, FinTech, Marketing, Marketplace, Wealth Management","Singapore, Central Region, Singapore","WEALTH is an online wealth services marketplace for investors powered by an innovative, award-winning digital platform",1000000,SGD,704929,Private,,,Active,https://wealthinasia.com/,1-10,1000000,SGD,704929,Seed,1,"Prive Financial, Vulpes Innovative Technologies, Price Holdings"
Nonstop Games,https://www.crunchbase.com/organization/nonstop-games,"Gaming, Mobile, Web Development","Singapore, Central Region, Singapore",Nonstop Games is a Singapore-based gaming company developing games for tablet and mobile platforms.,2900000,USD,2900000,Private,King.com,https://www.crunchbase.com/organization/king,Active,http://www.nonstop-games.com,51-100,2900000,USD,2900000,Seed,1,"Creandum, Lifeline Ventures"
Fluetis,https://www.crunchbase.com/organization/fluetis,"E-Commerce, Food and Beverage, Information Technology","Singapore, Central Region, Singapore",International expansion made easy,825000,SGD,592421,Private,,,Active,https://fluetis.com,1-10,825000,SGD,592421,Seed,1,
Pencil,https://www.crunchbase.com/organization/pencil-5ebf,"Advertising, Artificial Intelligence, Content, Machine Learning","Singapore, Central Region, Singapore","Pencil generates performance ad copy, stills and video that are predicted to be creative, effective and on-brand.",1500000,USD,1500000,Private,,,Active,https://trypencil.com/,11-50,,,,Seed,5,"Entrepreneur First, 500 Startups, Wavemaker Partners, SGInnovate, XA Network"
Crypton Studio,https://www.crunchbase.com/organization/cryptonstudio,"Blockchain, Gambling, IT Infrastructure, IT Management, Product Research, Web Development","Singapore, Central Region, Singapore",Crypton Studio develops decentralized exchanges and payment solutions based on blockchain technology.,1300000,USD,1300000,Private,,,Active,https://crypton.studio/,51-100,1300000,USD,1300000,Seed,1,
Silicon Cloud,https://www.crunchbase.com/organization/silicon-cloud,"Apps, Cloud Computing, Cloud Data Services, Semiconductor","Singapore, Central Region, Singapore",Silicon Cloud is an information technology company that offers a cloud-based platform for scientific and engineering applications.,641576,USD,641576,Private,,,Active,http://www.siliconcloudinternational.com,1-10,589000,SGD,441576,Seed,2,"CyLon, TYLT Ventures, Get2Volume"
Simec Atlantis Energy,https://www.crunchbase.com/organization/atlantis-resources,"Energy, Renewable Energy, Solar","Singapore, Central Region, Singapore",Simec Atlantis Energy is a vertically integrated turbine supplier and project owner in the tidal power industry. ,3379000,EUR,3717406,Public,,,Active,https://www.atlantisresourcesltd.com/,51-100,3379000,EUR,3717406,Equity Crowdfunding,1,
InsightzClub Pte Ltd,https://www.crunchbase.com/organization/insightzclub,"Consumer Research, Market Research, Marketing","Singapore, Central Region, Singapore",InsightzClub uses smart technology to enable various companies to uncover valuable insights from data to realize smarter decision-making.,500000,USD,500000,Private,,,Active,http://insightzclub.com/,11-50,500000,USD,500000,Seed,1,Telstra
The Praxis Company,https://www.crunchbase.com/organization/the-praxis-company,"Banking, Education, Financial Services","Singapore, Central Region, Singapore",The Praxis Company is a Company create a place to accelerate financial literacy education .,3000000,USD,3000000,Private,,,Active,https://www.thepraxis.co/,11-50,3000000,USD,3000000,Venture - Series Unknown,1,Triple P Capital
Darco Water Technologies,https://www.crunchbase.com/organization/darco-water-technologies,"Manufacturing, Water Purification","Singapore, Central Region, Singapore","Darco Water Technologies designs, fabricates, assembles, and installs engineered water systems for industrial applications.",19600000,SGD,14399355,Public,,,Active,https://darcowater.com/,51-100,19600000,SGD,14399355,Post-IPO Equity,1,
Widi,https://www.crunchbase.com/organization/widi,Accounting,"Singapore, Central Region, Singapore",WIDI is a cloud-based audit workflow management software,500000,USD,500000,Private,,,Active,https://www.thewidi.com,1-10,250000,USD,250000,Pre-Seed,2,Louis Leung
Tigerhall,https://www.crunchbase.com/organization/tigerhall,"E-Learning, Education, Information Technology, Internet, Knowledge Management","Singapore, Central Region, Singapore",Tigerhall is a knowledge-sharing platform.,3800000,USD,3800000,Private,,,Active,https://tigerhall.com/,11-50,2000000,USD,2000000,Seed,2,"Surge, XA Network, Taurus Ventures, WDHB"
Measurable Data Token,https://www.crunchbase.com/organization/measurable-data-token,"Apps, Finance, Internet","Singapore, Central Region, Singapore","MDT rewards users with MDT tokens for the actual anonymous data points exchanged. The more value your data generates, the more you earn. ",1000000,USD,1000000,Private,,,Active,https://mdt.io/,10001+,1000000,USD,1000000,Initial Coin Offering,2,"Node Capital, Gödel Labs"
OOjiBO,https://www.crunchbase.com/organization/oojibo,"Banking, Financial Services, FinTech, Mobile, Retail","Singapore, Central Region, Singapore",OOjiBO solution works as a full stack retail banking system on a mobile phone.,5000000,SGD,3586026,Private,,,Active,http://www.oojibo.com/,11-50,5000000,SGD,3586026,Seed,1,Centurion Corp
China Star Food Group,https://www.crunchbase.com/organization/china-star-food-group,Food and Beverage,"Singapore, Central Region, Singapore",China Star Food Group is a food & beverage company,4320000,SGD,3131800,Public,,,Active,,501-1000,4320000,SGD,3131800,Post-IPO Equity,1,
K Hotel,https://www.crunchbase.com/organization/k-hotel,"Hospitality, Hotel","Singapore, Central Region, Singapore",K Hotel is a Singapore-based hospitality firm.,2000000,SGD,1434388,Private,,,Active,https://www.khotel.co/,101-250,2000000,SGD,1434388,Seed,1,Noel Neo
GDP Inc.,https://www.crunchbase.com/organization/gdp-inc,"FinTech, Payments","Singapore, Central Region, Singapore",GDP is a fintech company that delivers technological solutions for cross-border financial transactions.,1000000,USD,1000000,Private,,,Active,https://www.gdp.world,11-50,1000000,USD,1000000,Seed,1,
UpCode Academy,https://www.crunchbase.com/organization/loco,"Apps, Education, Industrial","Singapore, Central Region, Singapore",Learn to code from industry experts,547270,USD,547270,Private,,,Active,https://www.upcodeacademy.com/,1-10,220000,USD,220000,Seed,3,"500 Startups, TRIVE"
Olam Treasury,https://www.crunchbase.com/organization/olam-treasury,,"Singapore, Central Region, Singapore",Olam Treasury manufactures agricultural products.,324200000,SGD,233036227,Private,,,Active,http://www.olamgroup.com/,11-50,324200000,SGD,233036227,Debt Financing,1,
Econote: The way world writes Paperless,https://www.crunchbase.com/organization/econote-the-way-world-writes-paperless,"Consumer Electronics, Information Technology","Singapore, Central Region, Singapore","A tech startup based out of India and Singapore offering digital notebooks for all your reading, writing sketching & collaboration needs.",682000,USD,682000,Private,,,Active,http://econote.in,101-250,100000,USD,100000,Convertible Note,5,"Sujay Prakash, khushboo K, Rajat Nirwan"
FlipNpik,https://www.crunchbase.com/organization/flipnpik,"Cryptocurrency, Information Services, Information Technology, Marketing, Social Media","Singapore, Central Region, Singapore",Information Technology and Services,2000000,USD,2000000,Private,,,Active,http://www.flipnpik.io,1-10,2000000,USD,2000000,Initial Coin Offering,1,
GridMarkets,https://www.crunchbase.com/organization/gridmarkets,"Animation, Cloud Computing, Enterprise Software, Financial Services, FinTech, GreenTech, SaaS, Software","Singapore, Central Region, Singapore","GridMarkets is a SaaS provider for visual effects, engineering and financial services.",1000000,USD,1000000,Private,,,Active,http://www.GridMarkets.com,11-50,700000,USD,700000,Seed,2,
SimplyGiving.com,https://www.crunchbase.com/organization/simplygiving-com,"E-Commerce, E-Commerce Platforms, Mobile","Singapore, Central Region, Singapore",SimplyGiving.com is an eCommerce company helping nonprofits use technology for Good.,3200000,SGD,2549998,Private,,,Active,http://www.SimplyGiving.com,11-50,2000000,SGD,1600376,Venture - Series Unknown,2,
VIATICK,https://www.crunchbase.com/organization/viatick,Information Technology,"Singapore, Central Region, Singapore",Viatick is a bLE specialist in proximity enabled solutions,900000,SGD,669761,Private,,,Active,https://www.viatick.com/,11-50,900000,SGD,669761,Seed,1,
Carmentix Pte Ltd.,https://www.crunchbase.com/organization/carmentix-pte-ltd,"Biotechnology, Health Care, Health Diagnostics","Singapore, Central Region, Singapore",Carmentix is a venture backed startup company developing a novel biomarker prognostic panel for pre term birth.,3500000,USD,3500000,Private,,,Active,https://www.carmentix.com,1-10,3500000,USD,3500000,Venture - Series Unknown,1,Esco Ventures
Food Runner,https://www.crunchbase.com/organization/food-runner-2,"Delivery, Internet","Singapore, Central Region, Singapore",Food Runner is the largest food delivery company in Southeast Asia.,1500000,USD,1500000,Private,Foodpanda,https://www.crunchbase.com/organization/foodpanda,Active,http://www.foodrunner.com.sg/,1-10,1500000,USD,1500000,Series A,1,"Cento Ventures, Rebate Networks"
Daylight Studios,https://www.crunchbase.com/organization/daylight-studios,"Developer Tools, Mobile Apps, Video Games","Singapore, Central Region, Singapore",Daylight Studios develops and publishes mobile games.,1169835,USD,1169835,Private,,,Active,http://day-lightstudios.com,11-50,704000,USD,704000,Series A,2,"Red Dot Ventures, Boon Hwee Koh, Raffle Venture Partners, Lim Swee Yong, Harry Inaba"
Commeasure,https://www.crunchbase.com/organization/commeasure,"E-Commerce, Hospitality, Internet, SaaS, Software, Travel","Singapore, Central Region, Singapore",Simplifying Online Hotel Distribution,1000000,USD,1000000,Private,,,Active,http://www.commeasure.com/contents,11-50,1000000,USD,1000000,Seed,1,Jungle Ventures
Impact Investment Exchange (IIX),https://www.crunchbase.com/organization/impact-investment-shujog,Non Profit,"Singapore, Central Region, Singapore",Impact Investment Exchange (IIX) prepare Social Enterprises (SEs) in Asia-Pacific to have the organizational and fiscal accountability,1200000,SGD,885239,Private,,,Active,https://www.iixfoundation.org,1-10,1200000,SGD,885239,Grant,1,Australian Department of Foreign Affairs and Trade
Asenso,https://www.crunchbase.com/organization/asenso,"Financial Services, FinTech, Marketplace","Singapore, Central Region, Singapore","Asenso is a financial technology company offering an end-to-end business accelerator for micro, small, and medium enterprises.",1200000,USD,1200000,Private,,,Active,http://asenso.asia/,11-50,1200000,USD,1200000,Venture - Series Unknown,1,"CARD MRI, Talino Venture Labs"
AKUOS,https://www.crunchbase.com/organization/akuos,,"Singapore, Central Region, Singapore",Enabling humanity through the elimination of medical stigma,883449,USD,883449,Private,,,Active,http://akuosmedical.com,1-10,500000,USD,500000,Seed,3,"Verge HealthTech Fund, 0711 Venture, LINvestment"
Frontier pte,https://www.crunchbase.com/organization/frontier-pte,"Human Resources, Information Technology, Mobile","Singapore, Central Region, Singapore",Frontier e-HR provides standardized and scalable HR software solutions and services across multiple industries.,1255000,USD,1255000,Private,,,Active,http://www.frontier-ehr.com,11-50,200000,USD,200000,Debt Financing,2,
PopulStay,https://www.crunchbase.com/organization/populstay,Internet,"Singapore, Central Region, Singapore",PopulStay is the genuine home sharing community redesigned based on the blockchain technology,2250000,USD,2250000,Private,,,Active,https://www.populstay.com/,11-50,2250000,USD,2250000,Seed,1,"Bitmain, Jove Capital, Handsome Capital, Sharp Eye Capital"
Eleos Web,https://www.crunchbase.com/organization/eleos-web,"E-Commerce, Point of Sale, Retail, Retail Technology","Singapore, Central Region, Singapore",Eleos provides mPOS (mobile point-of-sale) solutions to retailers.,2200000,USD,2200000,Private,,,Active,http://octopus.eleos.com/,51-100,2200000,USD,2200000,Seed,1,M1
Dragon Group,https://www.crunchbase.com/organization/dragon-group,"Computer, Electronics, Manufacturing, Virtual Reality","Singapore, Central Region, Singapore",Dragon Group is an investment holding company that distributes semiconductors and electric components.,20000000,USD,20000000,Delisted,,,Active,http://www.dragongp.com,1-10,20000000,USD,20000000,Private Equity,1,YinLong Group
CPDone,https://www.crunchbase.com/organization/cpdone,"Content Syndication, Human Resources, Information Technology, SaaS, Software","Singapore, Central Region, Singapore",Human Capital platform enabling organisations to drive & achieve outcomes rapidly to achieve strategic objectives.,3800000,AUD,3069515,Private,,,Active,http://www.cpdone.com,11-50,2000000,AUD,1450222,Venture - Series Unknown,2,Nick Prosser
CLOP Technologies,https://www.crunchbase.com/organization/clop-technologies,"Internet of Things, Semiconductor, Wireless","Singapore, Central Region, Singapore",CLOP Technologies is a fabless semiconductor design company focused on ultra high-speed wireless communications.,1000000,USD,1000000,Private,,,Active,http://www.cloptech.com,11-50,1000000,USD,1000000,Seed,1,"IncuVest, National Research Foundation"
iCommerce Asia,https://www.crunchbase.com/organization/icommerce-asia,"E-Commerce, Information Technology, Logistics","Singapore, Central Region, Singapore","It help businesses do eCommerce, end-to-end, faster and more profitably than anyone else.",1400000,USD,1400000,Private,,,Active,http://www.icommerce.asia/,11-50,1400000,USD,1400000,Seed,1,"Aaron Tan, Harry Markl, Cooper McGuire"
CreoPop,https://www.crunchbase.com/organization/creopop,"3D Printing, 3D Technology, Consumer Electronics, Electrical Distribution","Singapore, Central Region, Singapore",CreoPop is a consumer electronics company that features a device called 3D pen that enables its users to draw 3d figures.,1943606,USD,1943606,Private,,,Active,http://www.creopop.com,11-50,,,,Venture - Series Unknown,6,"500 Startups, Wavemaker Partners, National Research Foundation, Ruvento, Kumpulan Modal Perdana"
TravelShark,https://www.crunchbase.com/organization/swiftrank,"Big Data, Hospitality, Travel","Singapore, Central Region, Singapore",TravelShark is a tour platform helping travelers by providing personal recommendations.,8000000,USD,8000000,Private,,,Active,http://www.travelshark.com,11-50,5000000,USD,5000000,Series B,2,DLA Holdings
CtrlWorks,https://www.crunchbase.com/organization/ctrlworks,"Information Services, Information Technology, Robotics","Singapore, Central Region, Singapore",CtrlWorks is a leading robotics company specialising in the development of cloud-based robotics applications.,1300000,USD,1300000,Private,,,Active,http://www.ctrlworks.com/,11-50,1300000,USD,1300000,Seed,1,"Techstars, Wavemaker Partners, Qualcomm Robotics Accelerator"
CollabDeen,https://www.crunchbase.com/organization/collabdeen,"Collaboration, Information Technology, Mobile Apps, SaaS","Singapore, Central Region, Singapore",CollabDeen operates as a community collaboration platform.,500000,USD,500000,Private,,,Active,https://collabdeen.com,11-50,500000,USD,500000,Pre-Seed,1,
RAD/AR,https://www.crunchbase.com/organization/know-what-s-loved,"Big Data, Information Technology, Music, Music Streaming, SaaS, Software","Singapore, Central Region, Singapore",RAD/AR is a music talent discovery and tracking SaaS company.,4000000,SGD,2823329,Private,,,Active,http://www.knowwhatsloved.com,11-50,4000000,SGD,2823329,Seed,1,
W-locate,https://www.crunchbase.com/organization/w-locate,"Hardware, Software","Singapore, Central Region, Singapore",W-locate is a location technology company providing indoor and outdoor positioning products and services.,2470000,USD,2470000,Private,,,Active,http://w-locate.com,11-50,2000000,USD,2000000,Series A,2,"TNF Ventures, RHB-OSK GC-Millenium Fund"
AppInTop,https://www.crunchbase.com/organization/appintop,"Ad Network, Advertising, Big Data, Internet, iOS, Mobile, Retail Technology","Singapore, Central Region, Singapore",AppInTop.com is an automated mobile marketing platform,6000000,USD,6000000,Private,,,Active,https://appintop.com/,11-50,6000000,USD,6000000,Series A,1,Run Capital Investment Fund
DotBio,https://www.crunchbase.com/organization/dotbio,"Biotechnology, Life Science, Medical","Singapore, Central Region, Singapore",DotBio develops multi-functional antibodies based on its proprietary DotBody technology as the next generation of cancer therapies.,2482168,USD,2482168,Private,,,Active,https://www.dotbiopharma.com/,1-10,,,,Seed,3,Enterprise Singapore
GNum,https://www.crunchbase.com/organization/gnum,"Internet, Telecommunications, VoIP","Singapore, Central Region, Singapore",GNum allows individuals and enterprises to be always in touch™ by enabling international toll-free calls,5600000,USD,5600000,Private,,,Active,http://gnum.com/,11-50,5600000,USD,5600000,Seed,1,Tembusu Partners
gridComm,https://www.crunchbase.com/organization/gridcomm,"Clean Energy, Electrical Distribution, Manufacturing, Power Grid, Smart Home","Singapore, Central Region, Singapore",GridComm is an electrical manufacturing company that provides proprietary sensors and wireless-augmented power line infrastructure.,6265000,USD,6265000,Private,,,Active,http://www.gridcomm-plc.com/,11-50,5000,USD,5000,Grant,4,"TYLT Ventures, Get2Volume, Mekong Business Initiative"
Mekhala,https://www.crunchbase.com/organization/mekhala,"Food and Beverage, Food Delivery","Singapore, Central Region, Singapore",Mekhala is a food and beverage company.,1000000,SGD,729335,Private,,,Active,https://www.mekhalaliving.com/,1-10,1000000,SGD,729335,Seed,3,"Loyal VC, INSEAD Angels, Eugene Wong, Loyal One"
Sparky Animation,https://www.crunchbase.com/organization/sparky-animation,"Animation, Art, Digital Entertainment","Singapore, Central Region, Singapore",Sparky Animation is an accomplished animation production and content development company.,13000000,SGD,10321591,Private,,,Active,http://sparkyanim.com/,51-100,10000000,SGD,8062851,Series C,3,iGlobe Partners
Gogoprint,https://www.crunchbase.com/organization/gogoprint-pte-ltd,"E-Commerce, Manufacturing, Retail","Singapore, Central Region, Singapore","GOGOPRINT PTE. LTD, an online printing company, provides high-end printing services.",7700000,USD,7700000,Private,,,Active,https://www.gogoprint.sg/,11-50,7700000,USD,7700000,Venture - Series Unknown,1,
Quadrant Protocol,https://www.crunchbase.com/organization/quadrant-protocol,"Blockchain, Financial Services, Information Technology","Singapore, Central Region, Singapore","Quadrant Protocol is a Blockchain protocol that enables the access, creation, and distribution of data.",15000000,USD,15000000,Private,,,Active,https://www.quadrantprotocol.com/,1-10,15000000,USD,15000000,Initial Coin Offering,1,"Zeroth.AI, Obsidian Capital"
NeuroTrend,https://www.crunchbase.com/organization/neurotrend,"Advertising, Marketing","Singapore, Central Region, Singapore",NeuroTrend is a  neuroscience marketing company,1500000,USD,1500000,Private,,,Active,https://www.neurotrend.com,1-10,1500000,USD,1500000,Seed,1,"TRIVE, Lim Ho Kee, Lim How Teck"
Croesus Retail Asset Management,https://www.crunchbase.com/organization/croesus-retail-asset-management,"Real Estate, Retail","Singapore, Central Region, Singapore",Croesus Retail Asset Management is a Asia-Pacific retail business trust listed on Singapore Exchange Securities Trading Limited.,3000000000,JPY,27083105,Private,,,Active,http://www.croesusretailtrust.com/,11-50,3000000000,JPY,27083105,Debt Financing,1,Sumitomo Mitsui Trust Investment
Genaro Network,https://www.crunchbase.com/organization/genaro-network,"Blockchain, Data Storage, Internet","Singapore, Central Region, Singapore",Genaro Network is the first blockchain 3.0 ecosystem built on a Turing-complete public chain with decentralized storage...,1000000,USD,1000000,Private,,,Active,https://genaro.network/en,11-50,1000000,USD,1000000,Initial Coin Offering,1,"Node Capital, Andreas Schwartz"
Doctor Wealth,https://www.crunchbase.com/organization/doctor-wealth,"Advice, Financial Services, FinTech, Property Management, Retirement","Singapore, Central Region, Singapore",Dr Wealth is revolutionizing the financial advisory,640000,USD,640000,Private,,,Active,http://drwealth.com,1-10,640000,USD,640000,Seed,1,"Huang Shao Ning, Michelle Lam, Puffer Ventures, Wayne Quek"
ButlerTech Group,https://www.crunchbase.com/organization/butlertech-group,"Apps, Hardware, Mobile Apps, Real Estate, Software, Virtual Reality","Singapore, Central Region, Singapore",Building the worlds premiere virtual concierge app,849000,USD,849000,Private,,,Active,http://butlertech.co,11-50,849000,USD,849000,Seed,1,
LIFT12,https://www.crunchbase.com/organization/lift12,"Analytics, Big Data, Business Intelligence, E-Commerce, Fashion","Singapore, Central Region, Singapore","LIFT12 designs, distributes and retails fashion brands by combining design, technology and big data.",560000,USD,560000,Private,,,Active,http://www.lift12.com,1-10,560000,USD,560000,Seed,1,"Silicon Straits, Takanobu Yamamoto, KH Lim"
Inzen Studio,https://www.crunchbase.com/organization/inzen-studio,"Animation, Gaming, Video Games","Singapore, Central Region, Singapore",Inzen Studio is a Singapore-based developer of manga and anime games.,1298000,USD,1298000,Private,iCandy Interactive Limited,https://www.crunchbase.com/organization/icandy-interactive-limited,Active,http://www.inzenstudio.com,11-50,748000,USD,748000,Series A,2,"HATCHER+, Incubate Fund, Harveen Narulla, Global Mobile Game Confederation, Melvin Tan"
Geniebook,https://www.crunchbase.com/organization/geniebook,E-Learning,"Singapore, Central Region, Singapore","Geniebook is an online, assessment-led learning tool that provides a powerful way to sharpen your academic performance.",1500000,SGD,1096185,Private,,,Active,https://geniebook.com/,101-250,1500000,SGD,1096185,Seed,1,Apricot Capital
1030AM.com,https://www.crunchbase.com/organization/1030am-com,"E-Commerce, Internet, Marketplace, Shopping","Singapore, Central Region, Singapore",1030AM is an online shopping marketplace that features high-end products from local and international brands.,3150000,SGD,2210447,Private,,,Active,http://1030am.com/,11-50,3150000,SGD,2210447,Series A,1,
ActSocial,https://www.crunchbase.com/organization/actsocial,"Advertising, Analytics, Direct Marketing, Social CRM, Social Media","Singapore, Central Region, Singapore","Wildfire offers word of mouth programs for businesses by using consumer influencers, social CRM suites, and analytics.",2573768,USD,2573768,Private,Linkfluence,https://www.crunchbase.com/organization/linkfluence,Active,http://www.actsocial.com,51-100,2000000,USD,2000000,Venture - Series Unknown,3,"Hera Capital, Innosight Ventures, Neil Bearden"
Merit Labs,https://www.crunchbase.com/organization/merit-labs,"Blockchain, Cryptocurrency, Finance","Singapore, Central Region, Singapore","Merit Labs is the company behind Merit, an invite-only digital currency. ",1000000,USD,1000000,Private,,,Active,https://www.merit.me/,11-50,1000000,USD,1000000,Seed,1,
Y Ventures Group,https://www.crunchbase.com/organization/y-ventures-group,"E-Commerce, Internet, Retail","Midview City, Central Region, Singapore",Y Ventures Group is a data driven e-commerce company.,2000000,SGD,1452742,Public,,,Active,https://yventures.com.sg/,11-50,2000000,SGD,1452742,Post-IPO Equity,1,Ganesh Kumar Bangah
